task_name,model,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,ndcg_at_100,ndcg_at_1000,map_at_1,map_at_3,map_at_5,map_at_10,map_at_20,map_at_100,map_at_1000,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_100,recall_at_1000,precision_at_1,precision_at_3,precision_at_5,precision_at_10,precision_at_20,precision_at_100,precision_at_1000,mrr_at_1,mrr_at_3,mrr_at_5,mrr_at_10,mrr_at_20,mrr_at_100,mrr_at_1000,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_1000_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_1_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_3_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_map_at_5_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_10_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_20_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_100_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_1000_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_1_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_3_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,nauc_recall_at_5_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_10_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_20_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_100_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_1000_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_1_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_3_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_precision_at_5_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_10_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_20_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_100_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_1000_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_1_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_3_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_mrr_at_5_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_10_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_20_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_100_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_1000_diff1,main_score,hf_subset,languages
PublicHealthQA,./medical-bge-base-v0,0.67442,0.77104,0.79255,0.80966,0.81851,0.82177,0.82259,0.67442,0.74806,0.75998,0.76715,0.76958,0.77004,0.77008,0.67442,0.83721,0.88953,0.94186,0.97674,0.99419,1.0,0.67442,0.27907,0.17791,0.09419,0.04884,0.00994,0.001,0.6744186046511628,0.7480620155038757,0.7599806201550386,0.7671488556662975,0.769582516966238,0.7700335435391118,0.7700769312517116,0.40182218108206097,-0.0010053688304496183,0.6488224219627342,0.41163905547300794,-0.12776164926418926,0.6067206655875363,0.44728597014133387,-0.12222452879665181,0.6156019297366937,0.45460083263312545,-0.09723528904694213,0.6122613892239519,0.44202269400141575,-0.060226057189212985,0.616026618509305,0.4374215155865229,-0.06508500475396559,0.6126674829816036,0.434447543158834,-0.07071538971364918,0.6188664198987558,0.40182218108206097,-0.0010053688304496183,0.6488224219627342,0.41414308900669217,-0.08820515416872493,0.6194050689998537,0.43187350192723845,-0.08380351247402784,0.6245588566810346,0.43299633208772714,-0.07528655846142114,0.6236451834471934,0.4301987334895426,-0.06642980928001682,0.6243985100631798,0.42938064418543964,-0.06656832765721928,0.6240223600341996,0.4292578441221558,-0.06679785835364399,0.6242771607365002,0.40182218108206097,-0.0010053688304496183,0.6488224219627342,0.3981245206805687,-0.2915772603701093,0.5544471712080111,0.5375173032320614,-0.3351752016879466,0.5676271355210671,0.6968271760289774,-0.27374536793488125,0.4969672551420506,0.7072928205855282,0.4285812542190861,0.43877875620477824,1.0,1.0,-0.559968989151095,,,,0.40182218108206097,-0.0010053688304496183,0.6488224219627342,0.39812452068056825,-0.29157726037010906,0.5544471712080102,0.5375173032320635,-0.3351752016879475,0.5676271355210677,0.6968271760289751,-0.2737453679348774,0.4969672551420514,0.7072928205855249,0.42858125421909193,0.43877875620478124,1.0,1.0,-0.559968989151172,1.0,1.0,1.0,0.40182218108206097,-0.0010053688304496183,0.6488224219627342,0.41414308900669217,-0.08820515416872493,0.6194050689998537,0.43187350192723845,-0.08380351247402784,0.6245588566810346,0.43299633208772714,-0.07528655846142114,0.6236451834471934,0.4301987334895426,-0.06642980928001682,0.6243985100631798,0.42939379820096785,-0.06654374094069639,0.6240246374686736,0.42927008722504095,-0.06677497426175882,0.6242813346559453,0.80966,english,eng-Latn
MedicalQARetrieval,./medical-bge-base-v0,0.59961,0.68731,0.71439,0.73272,0.74391,0.75298,0.75756,0.59961,0.6661,0.68121,0.68887,0.69198,0.69324,0.69344,0.59961,0.74854,0.81396,0.87012,0.91406,0.96289,0.99756,0.59961,0.24951,0.16279,0.08701,0.0457,0.00963,0.001,0.599609375,0.6660970052083314,0.6812093098958323,0.6888699001736099,0.6919875108263783,0.6932390332130146,0.6934408308120241,0.43559628654874616,-0.017132919129338356,0.7244374842836969,0.4520220517779435,-0.046431068597928386,0.6725849080979511,0.45240658311297677,-0.052190284473026725,0.664283577313554,0.46260826286905166,-0.055236741935020255,0.6603240933883997,0.4675238506303711,-0.05144162541862897,0.6647138548179958,0.46242999340758006,-0.04876298410528398,0.6702986186454737,0.45725909862598146,-0.04388747212652137,0.6737200181786885,0.43559628654874616,-0.017132919129338356,0.7244374842836969,0.44709619913822696,-0.036905660200610924,0.685707560847489,0.44694384894911554,-0.03913537058191501,0.6819257468091761,0.45031686406461924,-0.040192404767835074,0.68079359267994,0.4514547679192475,-0.039312092900742834,0.6821252593558342,0.4509388604161868,-0.03891817840980274,0.6828377073789673,0.45076729022844536,-0.038649968276057586,0.6829437997307871,0.43559628654874616,-0.017132919129338356,0.7244374842836969,0.46967453126823244,-0.08091144924731364,0.6266898905458652,0.4767999336823712,-0.11178547409031667,0.5866502287022953,0.5447662950958203,-0.14866336662807478,0.536337268140103,0.6291152069620062,-0.1509281832749423,0.5203534247437024,0.6735011084156614,-0.20499303041797964,0.49879266699168834,0.3409222461056796,0.16455207076855646,0.34659134021694626,0.43559628654874616,-0.017132919129338356,0.7244374842836969,0.46967453126823266,-0.08091144924731283,0.6266898905458657,0.47679993368236884,-0.11178547409031989,0.5866502287022932,0.5447662950958194,-0.14866336662807828,0.5363372681401015,0.6291152069620034,-0.1509281832749472,0.520353424743696,0.6735011084156628,-0.20499303041799286,0.4987926669916947,0.34092224610572347,0.16455207076854414,0.3465913402168925,0.43802271672891746,-0.0130856684950448,0.7244374842836969,0.4488897612191256,-0.03451409430900542,0.685707560847489,0.4488543463288062,-0.036701588202090664,0.6819257468091761,0.45205956721273105,-0.037695605494565944,0.68079359267994,0.45323922187817683,-0.03678210052389712,0.6821436577752261,0.452731912184123,-0.03637472982552839,0.6828569568147299,0.45256183565206975,-0.036104721573591785,0.6829631076019028,0.73272,default,eng-Latn
TRECCOVID,./medical-bge-base-v0,0.7,0.73888,0.73219,0.72875,0.70558,0.57024,0.51763,0.00213,0.00611,0.00971,0.01861,0.03359,0.10898,0.25936,0.00213,0.00656,0.01055,0.02099,0.03927,0.14321,0.48949,0.8,0.81333,0.792,0.788,0.752,0.587,0.22628,0.8,0.8833333333333333,0.8873333333333333,0.8873333333333333,0.8873333333333333,0.8873333333333333,0.8873333333333333,0.35920685161050125,0.29184509402345976,-0.05101470862036887,0.39503551864059255,0.4125983799763171,-0.054008415259364714,0.41945187496638003,0.4493119122047088,-0.10035907318325242,0.4007478337404602,0.5566204569637287,-0.1205010594824142,0.3530794796164914,0.5720118325522707,-0.14932437868401807,0.35778686757415107,0.7340078119748378,-0.13603319536774175,0.3401494676680763,0.7355411401119036,-0.03418381856501622,0.3061419763282873,0.05975168149040192,0.28945226575599314,0.34544895633492245,0.16924195596515437,0.27036483451276,0.38010844499954055,0.1709625619935004,0.22752214253489053,0.36455813441922763,0.2335219240824557,0.1509144518218435,0.3601527814030989,0.2485572405417199,0.10832857736226031,0.434732456342778,0.5255270109845265,0.0918655181929372,0.35974983602809557,0.7351113483531176,-0.049277822906613505,0.3061419763282873,0.05975168149040192,0.28945226575599314,0.3061778067168913,0.12624550993828387,0.28555399657832714,0.3318915730384254,0.12234742352627044,0.2333009988890819,0.3058266568809392,0.16396336388342628,0.19557067929573144,0.2914446122356481,0.1455509369511178,0.17903418332235568,0.3500899870988896,0.3827071695650304,0.16571848486324656,0.24997125468376047,0.5915220737797627,0.013529301319481156,0.5419080919080922,0.24490509490509488,0.0723776223776221,0.4810010742848043,0.5233358532606538,-0.018879560736879443,0.5035895293483883,0.5062060928550226,-0.09521872492001862,0.4548841254171953,0.621474404174305,-0.16049687397170231,0.3803570684430782,0.5884068841938576,-0.17641788556903018,0.34691695040908405,0.7205484838880901,-0.13905430086295192,0.0892035082646302,0.48916453051455827,-0.29402056604997806,0.5419080919080922,0.24490509490509488,0.0723776223776221,0.5718242193019644,0.2357637416984599,0.11039988695775078,0.555686543616092,0.2311538484096672,0.07687141860069636,0.555686543616092,0.2311538484096672,0.07687141860069636,0.555686543616092,0.2311538484096672,0.07687141860069636,0.555686543616092,0.2311538484096672,0.07687141860069636,0.555686543616092,0.2311538484096672,0.07687141860069636,0.72875,default,eng-Latn
NFCorpus,./medical-bge-base-v0,0.47214,0.41693,0.39582,0.36465,0.34059,0.33294,0.42451,0.06767,0.10567,0.12066,0.14061,0.1565,0.17747,0.1925,0.06767,0.11293,0.13543,0.17552,0.21844,0.32987,0.66295,0.49226,0.3839,0.34056,0.27059,0.19923,0.08359,0.0214,0.4953560371517028,0.5521155830753355,0.5674406604747161,0.5747739446655854,0.5781856995682968,0.5798490655887987,0.5803436132731553,0.41800585087247955,0.28037119227299373,0.4264473045857315,0.3967551520616811,0.2688302544358883,0.2823474865807619,0.40118862176834796,0.2876255379406175,0.2488306059875941,0.3790723760555906,0.3142309634452343,0.22220982920866106,0.3615998084671877,0.31614266128241225,0.22804805841531664,0.3881858092798218,0.32733166148001813,0.25767072413688585,0.43172319554391897,0.3807746525500276,0.2578482455903108,0.08880571046635799,-0.1054196227893097,0.5257352129432439,0.13590310340292755,-0.04198034167370193,0.46336353185864104,0.1647746213387799,-0.01377618077423351,0.4192193006339071,0.20070675050635872,0.052838108798701544,0.36095007488127,0.22441568640605822,0.10415562728751718,0.3272578737797814,0.25451743950200423,0.1692540660010063,0.2997155198323902,0.26559906956225576,0.20187700874753312,0.2846537623406319,0.08880571046635799,-0.1054196227893097,0.5257352129432439,0.1358955695206638,-0.03556666968253338,0.4366339226062683,0.161984555851062,-0.008646064068674046,0.37506357593647316,0.20034519425322,0.07812551569879668,0.29837313893684997,0.20775711296431573,0.15159625838461246,0.24256172786920693,0.2652682247589337,0.2625133515321544,0.1772529059715862,0.20030497569907518,0.30207039039658895,0.06389379997395954,0.4403385899067087,0.28148482392391155,0.4157418144012343,0.4068997779385745,0.3133157895768967,0.15591917324071522,0.3989530635977054,0.3579234884817715,0.04516455467270353,0.3665720684419527,0.4198147359793479,-0.0578200010715626,0.3159242402207363,0.43722642660189587,-0.10362270241812202,0.21677278803852576,0.43750261715465427,-0.1395036972833068,0.08849735837827846,0.308415198590335,-0.16727037178269633,0.43765627731497725,0.2741253601405461,0.40737594289299617,0.47190197268957434,0.30557514156769455,0.38610732035469597,0.4801686258769361,0.3137932584225809,0.37421381788865404,0.48199253998753194,0.3200951752045976,0.36889892034022126,0.4810449050623503,0.3204583280644765,0.370486504082117,0.48161937520163095,0.32010222025673307,0.3709470324685863,0.48118899463873327,0.320024414277961,0.3710021927865462,0.36465,default,eng-Latn
ArguAna,./medical-bge-base-v0,0.39829,0.54558,0.59202,0.63433,0.65026,0.65742,0.65801,0.39829,0.50925,0.5351,0.55297,0.5574,0.55845,0.55847,0.39829,0.65078,0.76316,0.89189,0.95448,0.99218,0.99644,0.39829,0.21693,0.15263,0.08919,0.04772,0.00992,0.001,0.4018492176386913,0.5098387861545761,0.53679468942627,0.5544918038339102,0.558923036946706,0.5599693950471205,0.5599988355119674,-0.10916534396211988,-0.1241629814963329,0.18629096773266046,-0.06792883545933126,-0.11215078863205474,0.16626464615784414,-0.05841561496357411,-0.1062237909529439,0.16249439982005223,-0.056952059026113444,-0.09989656635214587,0.17296291797957195,-0.05487154254989689,-0.09776608246927149,0.17827200283381367,-0.0679858201825617,-0.1062424052794957,0.17394099511095548,-0.0689217423500595,-0.1070786581336087,0.1735264066315282,-0.10916534396211988,-0.1241629814963329,0.18629096773266046,-0.08015321617088308,-0.11558092302285335,0.16985457796363215,-0.07639395864841889,-0.11298390410975116,0.16783323229672387,-0.07620075686879138,-0.1115603862405607,0.17270252733782507,-0.07611575656237715,-0.11162758389875908,0.17371074775257278,-0.07763766891151751,-0.1125446796242184,0.17323091409995892,-0.07766737030528455,-0.11257380685121182,0.1732171464235976,-0.10916534396211988,-0.1241629814963329,0.18629096773266046,-0.026449095314827933,-0.10056727753152764,0.1550808851457616,0.02189276910164818,-0.07552607733635407,0.14055973582779327,0.1038758424306908,0.008573095103831972,0.18169485078969924,0.36941990357039994,0.2180421908240801,0.31206781648639076,0.31746652631930194,0.3483685556804279,0.2512360521115092,0.310778518869523,0.48240230405957557,0.1399509683124464,-0.10916534396211988,-0.1241629814963329,0.18629096773266046,-0.026449095314827937,-0.10056727753152787,0.15508088514576174,0.02189276910164787,-0.07552607733635498,0.14055973582779263,0.10387584243069055,0.008573095103831977,0.1816948507897015,0.3694199035703966,0.2180421908240824,0.3120678164863924,0.3174665263193057,0.34836855568044495,0.2512360521115144,0.31077851886953717,0.4824023040596186,0.13995096831243237,-0.1087611515321972,-0.11852552070247709,0.17648759572234274,-0.08967824202062477,-0.1141239890488883,0.15468137832858447,-0.08259248283462065,-0.11226422447814827,0.1561135039859887,-0.08251597920398643,-0.11077552858608121,0.16024418337634255,-0.08252353444212253,-0.11083119816063086,0.16106944019262373,-0.08406748783081916,-0.11174505949180871,0.1605449949716607,-0.08409781750667805,-0.11177409389616698,0.1605299676413893,0.63433,default,eng-Latn
PublicHealthQA,./medical-bge-base-v0-mix0,0.69186,0.77748,0.80425,0.81769,0.82531,0.82991,0.83073,0.69186,0.75678,0.7719,0.7776,0.77983,0.78056,0.7806,0.69186,0.83721,0.90116,0.94186,0.97093,0.99419,1.0,0.69186,0.27907,0.18023,0.09419,0.04855,0.00994,0.001,0.6918604651162791,0.756782945736434,0.7718992248062014,0.7775978220745664,0.7798299649317091,0.7805565945796648,0.7806003085156675,0.3812449045071127,-0.05346663717617878,0.6600245343366256,0.4328264841999838,-0.08781415658479136,0.6086002256786774,0.4508433385109374,-0.058327419612271725,0.617453025374738,0.4443597741856741,-0.0366313245339679,0.6195701668546848,0.43498800352233497,-0.009708260751719456,0.6090858502341113,0.429007165969644,-0.03846187808757348,0.6152589553410583,0.42588100450874344,-0.04414741266596369,0.6216932783112996,0.3812449045071127,-0.05346663717617878,0.6600245343366256,0.4173817898439406,-0.07872718112015459,0.6232709180809458,0.42536747817297343,-0.06306604942481082,0.6289359054479627,0.4221831437738347,-0.054485635304924306,0.629398109844491,0.41978469203240004,-0.04896579621350366,0.6271289047484572,0.41877059649440423,-0.052672419697905565,0.628191358174101,0.4186403698637697,-0.05290827490679962,0.6284575699619985,0.3812449045071127,-0.05346663717617878,0.6600245343366256,0.4951464962203969,-0.12380054488753217,0.5498161095222164,0.6060709959977335,-0.022935586553308997,0.5515166612063772,0.6628958088917422,0.16702557557683925,0.5341602598657857,0.6880062021697768,0.9477798861480058,0.2314137738635211,1.0,1.0,-0.559968989151095,,,,0.3812449045071127,-0.05346663717617878,0.6600245343366256,0.49514649622039564,-0.12380054488753238,0.5498161095222164,0.6060709959977352,-0.022935586553306662,0.551516661206378,0.6628958088917377,0.16702557557684009,0.5341602598657849,0.6880062021697753,0.9477798861480081,0.23141377386352285,1.0,1.0,-0.559968989151172,1.0,1.0,1.0,0.3812449045071127,-0.05346663717617878,0.6600245343366256,0.4173817898439406,-0.07872718112015459,0.6232709180809458,0.42536747817297343,-0.06306604942481082,0.6289359054479627,0.4221831437738347,-0.054485635304924306,0.629398109844491,0.41978469203240004,-0.04896579621350366,0.6271289047484572,0.4187786659751368,-0.05265780495240716,0.6281926719083918,0.41864746361944666,-0.052895427310121694,0.6284608823124943,0.81769,english,eng-Latn
MedicalQARetrieval,./medical-bge-base-v0-mix0,0.58154,0.68416,0.70704,0.72711,0.73729,0.74706,0.75118,0.58154,0.65918,0.67185,0.68033,0.68316,0.68451,0.68467,0.58154,0.75635,0.81201,0.87305,0.91309,0.96582,0.99756,0.58154,0.25212,0.1624,0.0873,0.04565,0.00966,0.001,0.58154296875,0.6591796874999973,0.6718505859374982,0.6803298223586294,0.683161449501031,0.6845084404900939,0.6846756556945014,0.39570432289738716,-0.02439094794442492,0.7074849175714278,0.422806954577965,-0.03350425725339149,0.6326786774182072,0.4242439951000606,-0.04462017970908952,0.6268937059767878,0.4325515001995613,-0.04424705559082381,0.626523266735643,0.43599014023695903,-0.04069323435983771,0.632464247841956,0.4315813218872317,-0.03610463157878932,0.63977360131732,0.425105446813511,-0.03648479587067119,0.6429489195615405,0.39570432289738716,-0.02439094794442492,0.7074849175714278,0.4138448924981536,-0.030261256985343953,0.6526708971014623,0.4141590880662497,-0.03609293212478692,0.6503635304670145,0.41699495212904414,-0.035836799498955796,0.6509885579511048,0.4178177560111933,-0.03513226017665869,0.6526638134125202,0.4172225355383188,-0.034596512198188406,0.6535156667221971,0.4170009705792482,-0.03453845217119399,0.6536040835892709,0.39570432289738716,-0.02439094794442492,0.7074849175714278,0.45629397026364077,-0.04572343041727388,0.5600775290110706,0.4697052836366763,-0.08414897830418484,0.5238398516063195,0.5353129842508917,-0.09780200006893164,0.47637909825029073,0.6087886754295262,-0.08056789611746759,0.4711298685642779,0.7317272564680154,0.01051124798678535,0.46986298111160985,0.4771507138843042,-0.016162717997705092,0.4357609844660414,0.39570432289738716,-0.02439094794442492,0.7074849175714278,0.4562939702636408,-0.045723430417273225,0.5600775290110711,0.46970528363667535,-0.08414897830418645,0.523839851606319,0.5353129842508914,-0.09780200006893261,0.47637909825029134,0.6087886754295235,-0.08056789611747428,0.4711298685642748,0.7317272564680215,0.01051124798678072,0.46986298111161084,0.47715071388427216,-0.016162717997759105,0.43576098446603306,0.39808187306708986,-0.020226464906041332,0.7074849175714278,0.4161117256738791,-0.027845412082509728,0.6526708971014623,0.4165280588307021,-0.0336243914203211,0.6503635304670145,0.4189584774663371,-0.0332982592476429,0.6509885579511048,0.4198263409068657,-0.03255488702829801,0.6526775694414099,0.4192415678746809,-0.032005270847846684,0.6535296361698996,0.41902138994745264,-0.03194575533268452,0.6536181165703906,0.72711,default,eng-Latn
TRECCOVID,./medical-bge-base-v0-mix0,0.67,0.73788,0.74619,0.72897,0.70736,0.57493,0.52953,0.00192,0.00596,0.0098,0.01876,0.03358,0.10983,0.26905,0.00192,0.00653,0.01087,0.02125,0.0395,0.14505,0.50199,0.72,0.8,0.812,0.79,0.758,0.5916,0.23276,0.72,0.85,0.85,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.4371753163802353,0.3846127642179487,0.16903135698591373,0.39934382239720023,0.49361648645442785,0.03894884331197843,0.3973358846555058,0.4934741466588013,0.05175307702465127,0.3973555842756708,0.5187453530304982,0.06440662227168534,0.3812553765250989,0.5681586580570793,-0.021731745320793847,0.3157538141542392,0.6904938085250296,-0.08442009023809076,0.3619052231308798,0.7459870624719311,-0.1041748882350268,0.4053726749037178,0.10296678902890334,0.389065428015738,0.38380670580950027,0.14785945012521987,0.3418681418451662,0.3888325318292676,0.1325018309151461,0.2726745046728366,0.4165493120855314,0.1822497759171759,0.27743145297756167,0.4165596962550629,0.24071991753250394,0.17489456724704386,0.4672851451999388,0.5048283847996305,-0.03326752398702517,0.3828016017633949,0.7571985196679814,-0.1694770246904644,0.4053726749037178,0.10296678902890334,0.389065428015738,0.3226979159356845,0.09819386129200165,0.2854027730428967,0.3168554088204871,0.06191802068927706,0.23597420113505507,0.35176305527368373,0.10588737992214664,0.2528593422733849,0.3220113334126185,0.13374365199295327,0.15687613322146884,0.37798710892915977,0.34111440269930643,-0.000455543193995646,0.2997185772283757,0.6337558128895484,-0.10543393242503571,0.6016101953601958,0.3551205738705739,0.27503052503052483,0.4947537574439927,0.5883731921731729,0.023234710275072692,0.47276653701272475,0.5316261549221467,0.035755039939141496,0.5336588288153367,0.5953032799161295,0.013077729519243821,0.4298850001868906,0.5852063891553801,-0.1002572856057114,0.31230708654289974,0.6778447097585911,-0.1518098789793354,0.08724097151748893,0.48620060888979183,-0.1326460726608479,0.6016101953601958,0.3551205738705739,0.27503052503052483,0.6317107583774252,0.3375661375661376,0.2813051146384488,0.6317107583774252,0.3375661375661376,0.2813051146384488,0.6221956867853525,0.3431152602885124,0.279321657741111,0.6221956867853525,0.3431152602885124,0.279321657741111,0.6221956867853525,0.3431152602885124,0.279321657741111,0.6221956867853525,0.3431152602885124,0.279321657741111,0.72897,default,eng-Latn
NFCorpus,./medical-bge-base-v0-mix0,0.47988,0.42909,0.40886,0.37483,0.34857,0.34061,0.43275,0.06937,0.1093,0.12496,0.14617,0.16188,0.18375,0.19917,0.06937,0.11701,0.14081,0.17988,0.21941,0.32986,0.66746,0.50155,0.39835,0.35418,0.27771,0.20279,0.08514,0.02166,0.5046439628482973,0.5639834881320951,0.5797729618163056,0.5850262912182417,0.5878781287394904,0.5899985709389567,0.5904682097132761,0.3721305366012537,0.24637677386543833,0.3368322056329247,0.4057335555202929,0.27150157101379335,0.2065095428693416,0.4029620271523233,0.2919489325994502,0.19747061799290852,0.372831308530227,0.3146590708145907,0.1821592137962164,0.36744544863422796,0.3158825710861153,0.20205930490677051,0.39065642104105636,0.33022584954836187,0.22577798566885476,0.4337350446978935,0.37679145817795107,0.22946187314372302,0.07974166989233283,-0.13630361684681305,0.4894484845161272,0.13624698332198196,-0.05493380197583262,0.40422239748037925,0.17074743912802512,-0.023434002799700294,0.3779224043458677,0.20026472727620342,0.04461769008092136,0.3204869811303167,0.23166113693663867,0.09405777132671464,0.29387112346423827,0.2655468089048841,0.16288945937193924,0.26688914547074516,0.2743509271772058,0.19891273271117224,0.24631589710855079,0.07974166989233283,-0.13630361684681305,0.4894484845161272,0.14072866261512054,-0.04290435158991188,0.38765028593531553,0.16902465934507552,-0.014877393889235632,0.3653283243306755,0.19000918764504737,0.07831523971926026,0.2941825717665317,0.22893463526935312,0.14816683776439873,0.2652545260360212,0.3001428406104376,0.2792267514641385,0.20889173976984188,0.2277011636041642,0.299475605073458,0.14055774820806996,0.39218907655191554,0.256100638863227,0.33005785840329516,0.4264515970272906,0.3312272921328046,0.06794713936235779,0.4050292208503412,0.3692420627080508,0.015619045205772892,0.35544949900314066,0.4198523896339873,-0.08205419411392838,0.3217194681963839,0.43923941425383883,-0.11449720943020125,0.2177094872651103,0.4686948696306036,-0.18739716602415143,0.07816693542631198,0.35392777271350484,-0.23802210284152275,0.39235210014876915,0.2519961944815351,0.3222285133287558,0.4464283877278907,0.2965567143117834,0.30160752707857386,0.44484846045641946,0.3084850332621282,0.3087166912467903,0.4528333492390934,0.3120374420793991,0.304769558051759,0.4525468317577948,0.3127176087320842,0.3051325891726031,0.45268979702318435,0.3130921678215586,0.30472655582587493,0.45216351136926247,0.312747600577679,0.3046080696410357,0.37483,default,eng-Latn
ArguAna,./medical-bge-base-v0-mix0,0.41038,0.55966,0.60157,0.6414,0.65702,0.66437,0.66496,0.41038,0.52193,0.54519,0.56193,0.5663,0.5674,0.56743,0.41038,0.66927,0.77098,0.8926,0.95377,0.99218,0.99644,0.41038,0.22309,0.1542,0.08926,0.04769,0.00992,0.001,0.4132290184921764,0.5224039829302993,0.5464793741109545,0.5633108672582362,0.5676772842692681,0.5687776633318452,0.5688077396559302,-0.10528598478436092,-0.1525579024746757,0.197349549330194,-0.05821310187215964,-0.1380400344532584,0.17817980344773093,-0.05323644651971232,-0.14196038967884742,0.18135426493298207,-0.04503577243693562,-0.1163191164635486,0.18932385149177036,-0.048669198094758705,-0.1222343273475471,0.18995335575631977,-0.05848037975430901,-0.12959179188957531,0.18813526527968483,-0.06008600617733117,-0.13048185894373432,0.18708172715961754,-0.10528598478436092,-0.1525579024746757,0.197349549330194,-0.07149580038272846,-0.14179106359557173,0.181987475539208,-0.06963614690880235,-0.14384364974517377,0.18343062273540456,-0.06682819909119012,-0.13436687833167318,0.1867943329715093,-0.0679310768403358,-0.13624587558528806,0.1868133524693754,-0.06906126812049163,-0.1370098149461363,0.18671075082789687,-0.06912353841570228,-0.13704849852229034,0.186668259820498,-0.10528598478436092,-0.1525579024746757,0.197349549330194,-0.01240171985022721,-0.12526247661460002,0.16578689467672908,0.01939130801666152,-0.13499175467061236,0.17459154401617333,0.13878037265064266,0.05215045487044202,0.21984158318771027,0.3040549794889956,0.1661919551682705,0.27679022018201416,0.4633331275409719,0.35488484549605975,0.35868947784511573,0.33693057653051006,0.5294611275890008,0.07653065181550382,-0.10528598478436092,-0.1525579024746757,0.197349549330194,-0.012401719850227802,-0.125262476614601,0.16578689467672791,0.019391308016662473,-0.13499175467061356,0.17459154401617266,0.13878037265064253,0.052150454870441475,0.21984158318771024,0.304054979488994,0.16619195516826168,0.27679022018200955,0.46333312754100436,0.3548848454960812,0.35868947784511324,0.336930576530585,0.529461127589046,0.07653065181553795,-0.10777393350620934,-0.15089673258972786,0.18966002831717835,-0.08209128636622356,-0.14103579794923948,0.16812575306618638,-0.07771441447891943,-0.14346867497708182,0.17259640014166086,-0.07396328419006033,-0.13454091272155766,0.17699388076735026,-0.07518171586531196,-0.13642620157008362,0.17684442993132002,-0.07635488533761624,-0.1371912077107937,0.17668410417921102,-0.0764179277337904,-0.1372299238139944,0.17664056722274643,0.6414,default,eng-Latn
